Campaign,Date,City,Latitude,Longitude,Channel,Device,Ad,Impressions,CPM,CTR,Clicks,RPC,CPC,Ad Spend,Conversions,Conversion Rate,Revenue,RPCon,Likes,Shares,Comments,Engagement Rate,Profit,ROAS,ROI
Spring ,3/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1254,14.86,0.02,24,0.89,0.78,18.63,2,8.4,21.12,10.56,29,17,8,4.3,2.49,1.13,13.4
Spring ,3/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1261,4.15,0.02,21,3.31,0.25,5.23,2,9.7,68.54,34.27,43,4,3,4.0,63.31,13.10,1209.6
Spring ,3/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1591,18.29,0.02,27,0.92,1.07,29.10,1,3.7,24.96,24.96,36,3,6,2.8,-4.14,0.86,-14.2
Spring ,3/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,824,15.52,0.01,11,5.73,1.18,12.78,1,9.3,61.82,61.82,16,7,3,3.2,49.04,4.84,383.6
Spring ,3/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1318,11.83,0.01,16,1.68,0.98,15.59,3,18.8,26.88,8.96,22,17,3,3.2,11.29,1.72,72.4
Spring ,3/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1670,4.04,0.01,20,0.76,0.33,6.74,5,24.7,15.36,3.07,20,18,12,3.0,8.62,2.28,128.0
Spring ,3/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1417,24.63,0.02,25,0.92,1.39,34.90,3,12.0,23.04,7.68,28,17,11,3.9,-11.86,0.66,-34.0
Spring ,3/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1290,1.36,0.01,17,3.46,0.10,1.75,2,11.8,58.46,29.23,20,2,3,1.9,56.71,33.42,3241.6
Spring ,3/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1337,1.71,0.01,14,3.52,0.16,2.28,5,35.3,49.92,9.98,49,2,3,4.0,47.64,21.88,2088.5
Spring ,3/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1316,20.76,0.01,19,2.48,1.47,27.31,2,10.8,46.08,23.04,19,12,2,2.5,18.77,1.69,68.8
Spring ,3/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1479,18.47,0.02,28,0.48,0.98,27.32,2,7.2,13.44,6.72,23,21,2,3.1,-13.88,0.49,-50.8
Spring ,3/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1472,6.38,0.02,29,0.86,0.32,9.39,4,13.7,24.96,6.24,59,12,3,5.0,15.57,2.66,165.9
Spring ,3/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1356,14.29,0.01,15,2.30,1.25,19.38,1,6.5,35.52,35.52,33,1,11,3.3,16.14,1.83,83.3
Spring ,3/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,904,16.93,0.01,12,0.91,1.32,15.30,5,43.2,10.56,2.11,22,18,8,5.3,-4.74,0.69,-31.0
Spring ,3/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1424,10.81,0.02,23,2.27,0.67,15.39,3,13.0,52.42,17.47,34,4,3,2.9,37.03,3.41,240.6
Spring ,3/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1373,0.47,0.01,14,4.03,0.05,0.64,1,7.1,56.45,56.45,49,2,6,4.2,55.80,87.64,8663.6
Spring ,4/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,807,5.56,0.01,10,4.52,0.47,4.49,0,0.0,43.01,0.00,60,13,11,10.3,38.52,9.58,857.9
Spring ,4/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1011,3.46,0.02,19,3.11,0.18,3.50,0,0.0,59.14,0.00,50,14,5,6.8,55.64,16.90,1590.3
Spring ,4/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1605,13.72,0.02,25,2.29,0.87,22.02,3,11.9,57.79,19.26,8,3,2,0.8,35.77,2.62,162.4
Spring ,4/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1111,13.77,0.02,21,1.09,0.72,15.29,5,23.7,23.04,4.61,15,16,3,3.1,7.75,1.51,50.7
Spring ,4/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1036,12.20,0.01,14,1.16,0.90,12.64,5,35.5,16.32,3.26,46,13,6,6.3,3.68,1.29,29.2
Spring ,4/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,957,9.82,0.01,11,5.14,0.84,9.40,3,26.8,57.60,19.20,37,1,8,4.8,48.20,6.13,512.7
Spring ,4/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1058,21.21,0.02,18,1.93,1.22,22.44,3,16.3,35.52,11.84,60,7,5,6.8,13.08,1.58,58.3
Spring ,4/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1460,1.33,0.02,24,0.96,0.08,1.94,3,12.5,23.04,7.68,20,5,9,2.3,21.10,11.88,1088.4
Spring ,4/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1062,7.07,0.01,13,3.34,0.58,7.51,4,30.6,43.68,10.92,48,11,9,6.4,36.17,5.81,481.4
Spring ,4/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1137,4.66,0.02,17,0.11,0.31,5.30,5,29.3,1.92,0.38,22,12,0,3.0,-3.38,0.36,-63.8
Spring ,4/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1158,5.53,0.01,15,2.99,0.43,6.41,2,13.3,45.02,22.51,49,2,6,4.9,38.62,7.03,602.9
Spring ,4/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1227,4.00,0.01,14,1.55,0.35,4.91,5,35.1,22.08,4.42,13,3,0,1.3,17.17,4.50,349.6
Spring ,4/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1416,18.01,0.02,25,1.54,1.02,25.51,3,12.0,38.40,12.80,55,2,9,4.7,12.89,1.51,50.5
Spring ,4/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1042,12.42,0.02,19,2.67,0.68,12.94,0,0.0,50.88,0.00,40,1,9,4.8,37.94,3.93,293.3
Spring ,4/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,897,6.77,0.01,12,0.70,0.49,6.07,2,16.3,8.64,4.32,50,3,0,5.9,2.57,1.42,42.2
Spring ,4/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1483,17.26,0.01,20,1.84,1.29,25.60,2,10.1,36.48,18.24,11,3,0,0.9,10.88,1.42,42.5
Spring ,4/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,725,17.39,0.01,9,0.11,1.45,12.60,4,46.0,0.96,0.24,24,4,9,5.1,-11.64,0.08,-92.4
Spring ,4/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,931,9.97,0.01,14,6.97,0.68,9.29,0,0.0,95.42,0.00,53,24,8,9.1,86.14,10.27,927.4
Spring ,4/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,863,10.26,0.01,10,5.04,0.86,8.86,0,0.0,51.74,0.00,25,1,9,4.1,42.89,5.84,484.2
Spring ,4/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1147,13.02,0.02,18,7.51,0.85,14.93,4,22.8,131.71,32.93,41,8,0,4.3,116.78,8.82,781.9
Spring ,4/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1421,2.65,0.02,25,5.74,0.15,3.76,1,4.0,144.48,144.48,32,9,11,3.6,140.72,38.41,3741.3
Spring ,4/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1060,25.67,0.02,19,11.02,1.43,27.21,4,21.0,210.34,52.58,61,2,5,6.4,183.13,7.73,673.1
Spring ,4/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,829,22.57,0.02,13,7.85,1.44,18.71,3,23.0,102.14,34.05,73,22,8,12.4,83.43,5.46,445.9
Spring ,4/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,971,7.78,0.02,17,3.30,0.44,7.55,2,11.6,57.12,28.56,70,9,2,8.3,49.57,7.56,656.1
Spring ,4/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1085,11.50,0.01,15,3.81,0.84,12.47,2,13.5,56.64,28.32,27,23,3,4.9,44.17,4.54,354.1
Spring ,4/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448,13.74,0.02,26,1.79,0.76,19.90,2,7.6,47.04,23.52,82,4,8,6.5,27.14,2.36,136.4
Spring ,4/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1067,27.12,0.02,19,2.83,1.54,28.93,4,21.3,53.09,13.27,74,16,9,9.3,24.15,1.83,83.5
Spring ,4/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1753,15.69,0.02,27,0.28,1.01,27.50,2,7.4,7.68,3.84,67,11,2,4.5,-19.82,0.28,-72.1
Spring ,4/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1474,18.24,0.02,23,1.48,1.18,26.89,3,13.2,33.60,11.20,70,3,3,5.2,6.71,1.25,24.9
Spring ,4/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,981,11.37,0.01,10,5.52,1.10,11.15,0,0.0,55.78,0.00,28,0,6,3.5,44.62,5.00,400.1
Spring ,5/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1496,17.83,0.01,19,2.28,1.44,26.66,4,21.6,42.34,10.58,66,5,9,5.3,15.68,1.59,58.8
Spring ,5/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1519,6.53,0.01,20,2.18,0.49,9.92,3,15.0,43.68,14.56,70,5,5,5.2,33.76,4.40,340.4
Spring ,5/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1335,13.94,0.01,19,4.89,0.99,18.62,0,0.0,92.06,0.00,57,1,0,4.3,73.44,4.94,394.4
Spring ,5/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1129,17.39,0.01,15,2.33,1.29,19.63,1,6.6,35.52,35.52,12,17,9,3.4,15.89,1.81,81.0
Spring ,5/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,770,6.68,0.02,12,2.70,0.43,5.15,1,8.3,32.64,32.64,50,20,11,10.5,27.49,6.34,534.4
Spring ,5/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1308,14.66,0.02,20,4.18,0.98,19.17,3,15.3,81.98,27.33,16,22,8,3.5,62.81,4.28,327.6
Spring ,5/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,868,27.30,0.02,14,6.44,1.64,23.68,2,13.9,92.74,46.37,24,17,9,5.8,69.05,3.92,291.5
Spring ,5/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1138,5.59,0.01,16,11.27,0.39,6.36,2,12.3,183.46,91.73,58,7,3,6.0,177.09,28.83,2782.7
Spring ,5/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,838,24.82,0.01,12,1.53,1.75,20.80,5,42.0,18.24,3.65,42,9,8,7.0,-2.56,0.88,-12.3
Spring ,5/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,774,11.76,0.01,11,1.29,0.82,9.10,3,26.9,14.40,4.80,9,21,8,4.8,5.30,1.58,58.3
Spring ,5/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1337,18.38,0.01,19,2.27,1.32,24.58,3,16.1,42.24,14.08,61,1,5,5.0,17.66,1.72,71.8
Spring ,5/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1588,8.96,0.01,23,2.18,0.61,14.23,3,12.8,50.88,16.96,48,3,6,3.6,36.65,3.58,257.6
Spring ,5/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,871,7.48,0.02,17,2.69,0.38,6.51,2,11.7,46.08,23.04,66,3,11,9.1,39.57,7.08,608.0
Spring ,5/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,926,12.15,0.02,17,0.17,0.68,11.25,4,24.1,2.88,0.72,54,4,2,6.4,-8.37,0.26,-74.4
Spring ,5/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1439,15.60,0.01,17,0.79,1.31,22.44,5,29.2,13.44,2.69,53,12,0,4.5,-9.00,0.60,-40.1
Spring ,5/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1242,28.55,0.02,24,0.16,1.45,35.46,3,12.3,3.84,1.28,79,7,2,7.0,-31.62,0.11,-89.2
Spring ,5/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1568,7.49,0.02,26,1.03,0.45,11.74,5,19.1,26.88,5.38,53,8,5,4.2,15.14,2.29,128.9
Spring ,5/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1503,21.32,0.01,22,0.39,1.46,32.04,4,18.2,8.64,2.16,28,23,0,3.4,-23.40,0.27,-73.0
Spring ,5/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1299,14.90,0.01,18,3.01,1.10,19.36,4,22.8,52.80,13.20,76,2,3,6.2,33.44,2.73,172.7
Spring ,5/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1495,12.27,0.02,28,1.69,0.67,18.35,2,7.3,46.37,23.18,76,1,2,5.2,28.02,2.53,152.6
Spring ,5/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1035,5.39,0.01,14,0.90,0.40,5.58,2,14.4,12.48,6.24,54,16,2,6.9,6.90,2.24,123.6
Spring ,5/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1396,9.05,0.01,16,10.64,0.79,12.63,0,0.0,169.34,0.00,54,4,8,4.7,156.72,13.41,1241.2
Spring ,5/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,843,17.58,0.01,12,6.89,1.20,14.81,2,16.1,85.34,42.67,45,9,12,7.8,70.53,5.76,476.1
Spring ,5/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1593,25.91,0.02,28,5.44,1.47,41.27,3,10.7,152.54,50.85,25,15,6,2.9,111.27,3.70,269.6
Spring ,5/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1735,9.72,0.02,29,2.18,0.58,16.86,5,17.1,63.84,12.77,45,5,0,2.9,46.98,3.79,278.7
Spring ,5/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1466,10.76,0.01,18,5.43,0.90,15.78,0,0.0,95.42,0.00,62,2,6,4.8,79.65,6.05,504.8
Spring ,5/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1732,16.88,0.02,31,3.94,0.94,29.24,2,6.4,122.30,61.15,61,1,2,3.7,93.06,4.18,318.2
Spring ,5/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1105,16.95,0.01,14,12.89,1.35,18.73,2,14.4,179.42,89.71,30,2,8,3.6,160.69,9.58,857.9
Spring ,5/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,786,16.62,0.02,13,2.16,0.98,13.06,3,22.5,28.80,9.60,57,2,9,8.7,15.74,2.20,120.5
Spring ,5/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1082,4.83,0.01,15,11.05,0.35,5.23,0,0.0,167.33,0.00,23,16,6,4.2,162.10,32.02,3101.8
Spring ,5/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,907,16.95,0.02,17,4.04,0.90,15.38,4,23.3,69.22,17.30,50,18,9,8.5,53.83,4.50,349.9
Summer ,6/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,505,7.56,0.01,7,6.77,0.52,3.82,3,40.7,49.92,16.64,30,13,0,8.5,46.10,13.08,1208.3
Summer ,6/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588,10.17,0.01,8,17.84,0.77,5.98,3,38.7,138.43,46.14,72,1,6,13.4,132.45,23.15,2214.8
Summer ,6/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,494,14.04,0.02,9,6.32,0.82,6.94,5,58.8,53.76,10.75,60,5,18,16.8,46.82,7.74,674.4
Summer ,6/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,441,12.32,0.01,6,19.48,0.98,5.43,1,18.0,108.19,108.19,19,5,8,7.1,102.76,19.93,1893.3
Summer ,6/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,723,17.54,0.01,9,1.09,1.44,12.68,4,45.3,9.60,2.40,29,1,0,4.1,-3.08,0.76,-24.3
Summer ,6/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,951,9.84,0.01,10,5.48,0.92,9.36,6,59.0,55.78,9.30,30,5,2,3.8,46.42,5.96,496.1
Summer ,6/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,849,12.29,0.02,14,11.14,0.74,10.43,6,42.3,157.92,26.32,48,26,0,8.7,147.49,15.14,1413.5
Summer ,6/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,664,24.63,0.02,11,26.35,1.48,16.35,4,36.3,290.30,72.58,46,3,8,8.5,273.96,17.76,1675.9
Summer ,6/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,727,12.76,0.01,9,25.92,1.08,9.28,4,46.6,222.43,55.61,57,10,2,9.4,213.15,23.98,2297.6
Summer ,6/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588,20.23,0.01,8,12.39,1.41,11.90,7,83.2,104.16,14.88,30,25,14,11.6,92.26,8.76,775.6
Summer ,6/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,369,13.01,0.01,5,9.49,0.94,4.81,5,98.1,48.38,9.68,59,4,12,20.3,43.58,10.07,906.8
Summer ,6/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440,10.03,0.02,7,21.44,0.66,4.42,2,29.7,144.48,72.24,37,27,12,17.3,140.06,32.71,3171.1
Summer ,6/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,780,19.13,0.01,10,1.36,1.51,14.92,3,30.3,13.44,4.48,34,21,2,7.2,-1.48,0.90,-9.9
Summer ,6/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,505,17.08,0.02,8,9.68,1.14,8.62,1,13.2,73.25,73.25,42,9,9,11.9,64.63,8.50,750.2
Summer ,6/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,476,2.61,0.01,6,6.88,0.21,1.24,4,66.7,41.28,10.32,23,22,3,10.1,40.04,33.25,3225.0
Summer ,6/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,232,8.14,0.01,3,1.78,0.70,1.89,3,111.3,4.80,1.60,64,3,17,35.9,2.91,2.54,153.9
Summer ,6/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,555,10.76,0.01,8,22.70,0.75,5.97,5,62.6,181.44,36.29,73,22,2,17.4,175.47,30.37,2937.2
Summer ,6/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,462,19.55,0.02,8,13.44,1.15,9.03,5,63.7,105.50,21.10,58,22,14,20.2,96.47,11.68,1068.4
Summer ,6/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440,18.81,0.01,5,0.53,1.53,8.28,3,55.4,2.88,0.96,62,6,8,17.2,-5.40,0.35,-65.2
Summer ,6/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1031,15.46,0.02,17,4.99,0.93,15.94,4,23.4,85.34,21.34,34,19,8,5.9,69.40,5.35,435.4
Summer ,6/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,406,10.66,0.02,6,8.39,0.70,4.33,6,97.1,51.84,8.64,32,7,8,11.4,47.51,11.96,1096.3
Summer ,6/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,562,10.71,0.01,8,1.35,0.77,6.02,3,38.4,10.56,3.52,53,13,18,14.9,4.54,1.75,75.4
Summer ,6/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,243,7.36,0.01,3,1.29,0.60,1.79,1,33.5,3.84,3.84,67,10,12,36.7,2.05,2.15,115.1
Summer ,6/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,986,8.62,0.01,14,11.59,0.59,8.50,4,27.6,168.00,42.00,52,21,8,8.2,159.50,19.76,1876.3
Summer ,6/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,345,8.49,0.01,4,32.91,0.79,2.93,4,108.2,121.63,30.41,75,16,5,27.6,118.70,41.48,4047.6
Summer ,6/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,539,8.67,0.01,7,6.85,0.67,4.67,4,57.1,48.00,12.00,58,8,11,14.2,43.33,10.27,927.2
Summer ,6/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,302,11.41,0.01,4,70.39,0.92,3.44,4,106.9,263.42,65.86,28,1,12,13.6,259.98,76.51,7551.1
Summer ,6/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,927,10.88,0.02,15,7.56,0.66,10.08,3,19.5,116.26,38.75,35,18,5,6.2,106.17,11.53,1053.2
Summer ,6/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,369,14.39,0.01,5,3.43,1.12,5.30,5,105.2,16.32,3.26,28,17,6,13.8,11.02,3.08,207.7
Summer ,6/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,518,7.72,0.01,6,12.14,0.70,4.00,6,105.2,69.22,11.54,58,13,6,14.9,65.22,17.31,1630.6
Summer ,7/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,930,16.96,0.02,14,1.15,1.12,15.76,7,49.5,16.32,2.33,26,7,2,3.7,0.56,1.04,3.5
Summer ,7/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,497,2.33,0.01,7,11.31,0.17,1.16,3,44.7,75.94,25.31,73,17,20,22.0,74.78,65.57,6457.0
Summer ,7/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,662,12.61,0.02,12,9.11,0.72,8.34,1,8.7,104.83,104.83,74,7,14,14.3,96.49,12.57,1157.1
Summer ,7/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,449,14.95,0.01,6,4.31,1.12,6.71,6,99.7,25.92,4.32,55,2,12,15.4,19.21,3.86,286.1
Summer ,7/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,575,12.59,0.01,7,8.94,1.06,7.24,4,58.5,61.15,15.29,43,4,3,8.7,53.92,8.45,745.0
Summer ,7/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,400,15.05,0.01,6,11.21,1.02,6.01,5,85.1,65.86,13.17,71,21,9,25.3,59.84,10.95,995.1
Summer ,7/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,419,6.64,0.02,7,7.64,0.43,2.78,2,30.6,49.92,24.96,44,19,9,17.2,47.14,17.96,1695.7
Summer ,7/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1133,12.68,0.01,17,1.25,0.85,14.37,5,29.6,21.12,4.22,34,14,18,5.8,6.75,1.47,47.0
Summer ,7/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,915,15.35,0.01,13,1.63,1.08,14.05,6,46.2,21.12,3.52,19,13,12,4.8,7.07,1.50,50.4
Summer ,7/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,475,23.10,0.02,7,1.47,1.53,10.98,4,55.7,10.56,2.64,61,14,14,18.6,-0.42,0.96,-3.8
